id,name,category,variation,availability
clothing_1-1,3D Glasses,Accessories,White,Able Sisters 
clothing_1-2,3D Glasses,Accessories,Black,Able Sisters 
clothing_2-1,A Tee,Tops,,Nook Shopping 
clothing_3-1,Academy Uniform,Dress-Up,Gray,Able Sisters 
clothing_3-2,Academy Uniform,Dress-Up,Red,Able Sisters 
clothing_3-3,Academy Uniform,Dress-Up,Navy Blue,Able Sisters 
clothing_4-1,Acid-Washed Jacket,Tops,Black,Able Sisters 
clothing_4-2,Acid-Washed Jacket,Tops,Blue,Able Sisters 
clothing_5-1,Acid-Washed Jeans,Bottoms,Black,Mabel Able Sisters 
clothing_5-2,Acid-Washed Jeans,Bottoms,Blue,Mabel Able Sisters 
clothing_6-1,Acorn Knit Cap,Headwear,Berry Red,Mabel Able Sisters 
clothing_6-2,Acorn Knit Cap,Headwear,Mustard,Mabel Able Sisters 
clothing_6-3,Acorn Knit Cap,Headwear,Avocado,Mabel Able Sisters 
clothing_6-4,Acorn Knit Cap,Headwear,Navy Blue,Mabel Able Sisters 
clothing_6-5,Acorn Knit Cap,Headwear,Chestnut,Mabel Able Sisters 
clothing_6-6,Acorn Knit Cap,Headwear,Cream,Mabel Able Sisters 
clothing_7-1,Acorn Pochette,Bags,,Crafting 
clothing_8-1,Adventure Dress,Dress-Up,,Able Sisters 
clothing_9-1,Aerobics Leggings,Socks,Red & Pink,Kicks 
clothing_9-2,Aerobics Leggings,Socks,Light Blue & Salmon Pink,Kicks 
clothing_9-3,Aerobics Leggings,Socks,Purple & Orange,Kicks 
clothing_9-4,Aerobics Leggings,Socks,Emerald & Lime,Kicks 
clothing_9-5,Aerobics Leggings,Socks,Yellow & Blue,Kicks 
clothing_10-1,After-School Jacket,Tops,Black,Able Sisters 
clothing_10-2,After-School Jacket,Tops,White,Able Sisters 
clothing_10-3,After-School Jacket,Tops,Gray,Able Sisters 
clothing_10-4,After-School Jacket,Tops,Berry Red,Able Sisters 
clothing_10-5,After-School Jacket,Tops,Green,Able Sisters 
clothing_10-6,After-School Jacket,Tops,Blue,Able Sisters 
clothing_10-7,After-School Jacket,Tops,Purple,Able Sisters 
clothing_11-1,Alpinist Dress,Dress-Up,Red,Able Sisters 
clothing_11-2,Alpinist Dress,Dress-Up,Green,Able Sisters 
clothing_11-3,Alpinist Dress,Dress-Up,Blue,Able Sisters 
clothing_12-1,Alpinist Hat,Headwear,Red,Gulliver 
clothing_12-2,Alpinist Hat,Headwear,Green,Gulliver 
clothing_12-3,Alpinist Hat,Headwear,Blue,Gulliver 
clothing_13-1,Alpinist Overalls,Dress-Up,Red,Able Sisters 
clothing_13-2,Alpinist Overalls,Dress-Up,Green,Able Sisters 
clothing_13-3,Alpinist Overalls,Dress-Up,Blue,Able Sisters 
clothing_14-1,Ancient Administrator Hat,Headwear,,Gulliver 
clothing_15-1,Ancient Belted Robe,Dress-Up,White,Able Sisters 
clothing_15-2,Ancient Belted Robe,Dress-Up,Green,Able Sisters 
clothing_15-3,Ancient Belted Robe,Dress-Up,Blue,Able Sisters 
clothing_15-4,Ancient Belted Robe,Dress-Up,Purple,Able Sisters 
clothing_15-5,Ancient Belted Robe,Dress-Up,Beige,Able Sisters 
clothing_16-1,Ancient Sashed Robe,Dress-Up,Red,Able Sisters 
clothing_16-2,Ancient Sashed Robe,Dress-Up,Pink,Able Sisters 
clothing_16-3,Ancient Sashed Robe,Dress-Up,Green,Able Sisters 
clothing_16-4,Ancient Sashed Robe,Dress-Up,Blue,Able Sisters 
clothing_16-5,Ancient Sashed Robe,Dress-Up,Purple,Able Sisters 
clothing_17-1,Animal Nose,Accessories,,Mabel Able Sisters 
clothing_18-1,Animal-Print Coat,Tops,Pink,Able Sisters Apparel shop 
clothing_18-2,Animal-Print Coat,Tops,Green,Able Sisters Apparel shop 
clothing_18-3,Animal-Print Coat,Tops,Blue,Able Sisters Apparel shop 
clothing_18-4,Animal-Print Coat,Tops,Purple,Able Sisters Apparel shop 
clothing_19-1,Animal-Stripes Skirt,Bottoms,Zebra,Mabel Able Sisters 
clothing_19-2,Animal-Stripes Skirt,Bottoms,Tiger,Mabel Able Sisters 
clothing_20-1,Animal-Stripes Tee,Tops,Zebra,Mabel Able Sisters 
clothing_20-2,Animal-Stripes Tee,Tops,Tiger,Mabel Able Sisters 
clothing_21-1,Annyeong Tee,Tops,,Nook Shopping 
clothing_22-1,Anorak Jacket,Tops,Red,Mabel Able Sisters 
clothing_22-2,Anorak Jacket,Tops,Blue,Mabel Able Sisters 
clothing_22-3,Anorak Jacket,Tops,Camel,Mabel Able Sisters 
clothing_23-1,Antique Boots,Shoes,Black,Mabel Able Sisters 
clothing_23-2,Antique Boots,Shoes,Brown,Mabel Able Sisters 
clothing_23-3,Antique Boots,Shoes,Greige,Mabel Able Sisters 
clothing_24-1,Áo Dài,Dress-Up,White,Able Sisters 
clothing_24-2,Áo Dài,Dress-Up,Pink,Able Sisters 
clothing_24-3,Áo Dài,Dress-Up,Yellow,Able Sisters 
clothing_24-4,Áo Dài,Dress-Up,Green,Able Sisters 
clothing_24-5,Áo Dài,Dress-Up,Navy Blue,Able Sisters 
clothing_25-1,Apparel-Shop Paper Bag,Bags,Pink,Kicks 
clothing_25-2,Apparel-Shop Paper Bag,Bags,Light Blue,Kicks 
clothing_26-1,Apple Dress,Dress-Up,,Crafting 
clothing_27-1,Apple Hat,Headwear,,Crafting 
clothing_28-1,Apple Umbrella,Umbrellas,,Crafting 
clothing_29-1,Apron,Tops,Gray,Able Sisters 
clothing_29-2,Apron,Tops,Pink,Able Sisters 
clothing_29-3,Apron,Tops,Orange,Able Sisters 
clothing_29-4,Apron,Tops,Green,Able Sisters 
clothing_29-5,Apron,Tops,Light Blue,Able Sisters 
clothing_29-6,Apron,Tops,Blue,Able Sisters 
clothing_29-7,Apron,Tops,Purple,Able Sisters 
clothing_29-8,Apron,Tops,Brown,Able Sisters 
clothing_30-1,Apron Skirt,Bottoms,Blue,Able Sisters 
clothing_30-2,Apron Skirt,Bottoms,Purple,Able Sisters 
clothing_30-3,Apron Skirt,Bottoms,Beige,Able Sisters 
clothing_31-1,Aran-Knit Cap,Headwear,White,Mabel Able Sisters 
clothing_31-2,Aran-Knit Cap,Headwear,Red,Mabel Able Sisters 
clothing_31-3,Aran-Knit Cap,Headwear,Green,Mabel Able Sisters 
clothing_31-4,Aran-Knit Cap,Headwear,Blue,Mabel Able Sisters 
clothing_32-1,Aran-Knit Cardigan,Tops,Pink,Mabel Able Sisters 
clothing_32-2,Aran-Knit Cardigan,Tops,Yellow,Mabel Able Sisters 
clothing_32-3,Aran-Knit Cardigan,Tops,Light Blue,Mabel Able Sisters 
clothing_32-4,Aran-Knit Cardigan,Tops,Beige,Mabel Able Sisters 
clothing_33-1,Aran-Knit Socks,Socks,White,Mabel Able Sisters 
clothing_33-2,Aran-Knit Socks,Socks,Black,Mabel Able Sisters 
clothing_33-3,Aran-Knit Socks,Socks,Red,Mabel Able Sisters 
clothing_33-4,Aran-Knit Socks,Socks,Green,Mabel Able Sisters 
clothing_33-5,Aran-Knit Socks,Socks,Blue,Mabel Able Sisters 
clothing_33-6,Aran-Knit Socks,Socks,Beige,Mabel Able Sisters 
clothing_34-1,Aran-Knit Sweater,Tops,White,Mabel Able Sisters 
clothing_34-2,Aran-Knit Sweater,Tops,Gray,Mabel Able Sisters 
clothing_34-3,Aran-Knit Sweater,Tops,Black,Mabel Able Sisters 
clothing_34-4,Aran-Knit Sweater,Tops,Red,Mabel Able Sisters 
clothing_34-5,Aran-Knit Sweater,Tops,Orange,Mabel Able Sisters 
clothing_34-6,Aran-Knit Sweater,Tops,Green,Mabel Able Sisters 
clothing_34-7,Aran-Knit Sweater,Tops,Blue,Mabel Able Sisters 
clothing_35-1,Argyle Crew Socks,Socks,White,Able Sisters 
clothing_35-2,Argyle Crew Socks,Socks,Gray,Able Sisters 
clothing_35-3,Argyle Crew Socks,Socks,Red,Able Sisters 
clothing_35-4,Argyle Crew Socks,Socks,Pink,Able Sisters 
clothing_35-5,Argyle Crew Socks,Socks,Orange,Able Sisters 
clothing_35-6,Argyle Crew Socks,Socks,Green,Able Sisters 
clothing_35-7,Argyle Crew Socks,Socks,Blue,Able Sisters 
clothing_35-8,Argyle Crew Socks,Socks,Beige,Able Sisters 
clothing_36-1,Argyle Sweater,Tops,White,Mabel Able Sisters 
clothing_36-2,Argyle Sweater,Tops,Gray,Mabel Able Sisters 
clothing_36-3,Argyle Sweater,Tops,Black,Mabel Able Sisters 
clothing_36-4,Argyle Sweater,Tops,Red,Mabel Able Sisters 
clothing_36-5,Argyle Sweater,Tops,Pink,Mabel Able Sisters 
clothing_36-6,Argyle Sweater,Tops,Mustard,Mabel Able Sisters 
clothing_36-7,Argyle Sweater,Tops,Green,Mabel Able Sisters 
clothing_36-8,Argyle Sweater,Tops,Purple,Mabel Able Sisters 
clothing_37-1,Argyle Vest,Tops,Gray,Mabel Able Sisters 
clothing_37-2,Argyle Vest,Tops,Red,Mabel Able Sisters 
clothing_37-3,Argyle Vest,Tops,Pink,Mabel Able Sisters 
clothing_37-4,Argyle Vest,Tops,Green,Mabel Able Sisters 
clothing_37-5,Argyle Vest,Tops,Blue,Mabel Able Sisters 
clothing_37-6,Argyle Vest,Tops,Brown,Mabel Able Sisters 
clothing_38-1,Armor Shoes,Shoes,,Crafting 
clothing_39-1,Asian-Style Clasp Purse,Bags,Black,Kicks 
clothing_39-2,Asian-Style Clasp Purse,Bags,Blue,Kicks 
clothing_40-1,Astro Dress,Dress-Up,Pink,Able Sisters 
clothing_40-2,Astro Dress,Dress-Up,Green,Able Sisters 
clothing_40-3,Astro Dress,Dress-Up,Blue,Able Sisters 
clothing_41-1,Athletic Jacket,Tops,Black,Mabel Able Sisters 
clothing_41-2,Athletic Jacket,Tops,Berry Red,Mabel Able Sisters 
