id,name,category,availability
interior_1,Abstract Wall,Wallpaper,Nook's Cranny 
interior_2,Acorn Rug,Rugs,Crafting 
interior_3,Airplane Wall,Wallpaper,Saharah's Co-Op 
interior_4,Aluminum Rug,Rugs,Saharah 
interior_5,Ancient Wall,Wallpaper,Saharah 
interior_6,Antique Brick Wall,Wallpaper,Saharah's Co-Op 
interior_7,Apparel-Shop Wall,Wallpaper,Saharah's Co-Op 
interior_8,Apple Rug,Rugs,Crafting 
interior_9,Apple Wall,Wallpaper,Crafting 
interior_10,Aqua Tile Flooring,Floors,Nook's Cranny 
interior_11,Aqua Tile Wall,Wallpaper,Nook's Cranny 
interior_12,Arabesque Flooring,Floors,Nook's Cranny 
interior_13,Arched-Brick Flooring,Floors,Nook's Cranny 
interior_14,Arched-Window Wall,Wallpaper,Nook's Cranny 
interior_15,Argyle Tile Flooring,Floors,Nook's Cranny 
interior_16,Artsy Parquet Flooring,Floors,Nook's Cranny 
interior_17,Aurora Wall,Wallpaper,Nook Shopping 
interior_18,Autumn Wall,Wallpaper,Crafting 
interior_19,Backyard Lawn,Floors,Crafting 
interior_20,Backyard-Fence Wall,Wallpaper,Saharah 
interior_21,Bamboo Flooring,Floors,Crafting 
interior_22,Bamboo Wall,Wallpaper,Crafting 
interior_23,Bamboo-Grove Wall,Wallpaper,Crafting 
interior_24,Bamboo-Screen Wall,Wallpaper,Nook's Cranny 
interior_25,Bank-Vault Wall,Wallpaper,Saharah 
interior_26,Basement Flooring,Floors,Crafting 
interior_27,Basic Wall,Wallpaper,Nook's Cranny 
interior_28,Bathhouse Wall,Wallpaper,Saharah's Co-Op 
interior_29,Beaded-Curtain Wall,Wallpaper,Nook's Cranny 
interior_30,Beige Art-Deco Wall,Wallpaper,Nook's Cranny 
interior_31,Beige Blossoming Wall,Wallpaper,Nook's Cranny 
interior_32,Beige Moroccan Flooring,Floors,Nook's Cranny 
interior_33,Beige Moroccan Wall,Wallpaper,Nook's Cranny 
interior_34,Bell-Bag Rug,Rugs,Nook Miles Redemption Bank of Nook 
interior_35,Berry-Chocolates Flooring,Floors,Saharah 
interior_36,Birch Flooring,Floors,Nook's Cranny 
interior_37,Black Blocks Rug,Rugs,Saharah 
interior_38,Black Botanical-Tile Wall,Wallpaper,Nook's Cranny 
interior_39,Black European-Style Wall,Wallpaper,Saharah's Co-Op 
interior_40,Black Hallway Wall,Wallpaper,Nook's Cranny 
interior_41,Black Iron-Parquet Flooring,Floors,Nook's Cranny 
interior_42,Black Perforated-Board Wall,Wallpaper,Nook's Cranny 
interior_43,Black Two-Toned Tile Wall,Wallpaper,Nook's Cranny 
interior_44,Black Window-Panel Wall,Wallpaper,Nook's Cranny 
interior_45,Black Wooden-Deck Rug,Rugs,Saharah 
interior_46,Black-Brick Flooring,Floors,Nook's Cranny 
interior_47,Black-Brick Wall,Wallpaper,Nook's Cranny 
interior_48,Black-Crown Wall,Wallpaper,Nook's Cranny 
interior_49,Black-Design Kitchen Mat,Rugs,Saharah 
interior_50,Blackboard Wall,Wallpaper,Saharah 
interior_51,Block Flooring,Floors,Nook Shopping 
interior_52,Blue Argyle Rug,Rugs,Saharah 
interior_53,Blue Blocks Rug,Rugs,Saharah 
interior_54,Blue Blossoming Wall,Wallpaper,Nook's Cranny 
interior_55,Blue Camo Flooring,Floors,Nook's Cranny 
interior_56,Blue Camo Wall,Wallpaper,Nook's Cranny 
interior_57,Blue Delicate-Blooms Wall,Wallpaper,Nook's Cranny 
interior_58,Blue Diner Wall,Wallpaper,Nook's Cranny 
interior_59,Blue Dot Flooring,Floors,Nook's Cranny 
interior_60,Blue Dotted Rug,Rugs,Saharah 
interior_61,Blue Exercise Mat,Rugs,Saharah's Co-Op 
interior_62,Blue Floral Flooring,Floors,Nook's Cranny 
interior_63,Blue Flower-Print Wall,Wallpaper,Nook's Cranny 
interior_64,Blue Hawaiian Quilt Rug,Rugs,Saharah's Co-Op 
interior_65,Blue Heart-Pattern Wall,Wallpaper,Nook's Cranny 
interior_66,Blue Honeycomb Tile,Floors,Nook's Cranny 
interior_67,Blue Honeycomb-Tile Wall,Wallpaper,Nook's Cranny 
interior_68,Blue Intricate Wall,Wallpaper,Nook's Cranny 
interior_69,Blue Kilim-Style Carpet,Rugs,Saharah 
interior_70,Blue Kitchen Mat,Rugs,Saharah 
interior_71,Blue Medium Round Mat,Rugs,Saharah 
interior_72,Blue Message Mat,Rugs,Saharah 
interior_73,Blue Molded-Panel Wall,Wallpaper,Nook's Cranny 
interior_74,Blue Moroccan Flooring,Floors,Nook's Cranny 
interior_75,Blue Moroccan Wall,Wallpaper,Nook's Cranny 
interior_76,Blue Moroccan-Style Wall,Wallpaper,Saharah's Co-Op 
interior_77,Blue Mosaic-Tile Flooring,Floors,Nook's Cranny 
interior_78,Blue Painted-Wood Wall,Wallpaper,Nook's Cranny 
interior_79,Blue Persian Rug,Rugs,Saharah 
interior_80,Blue Playroom Wall,Wallpaper,Nook's Cranny 
interior_81,Blue Quilt Wall,Wallpaper,Nook's Cranny 
interior_82,Blue Rubber Flooring,Floors,Nook's Cranny 
interior_83,Blue Shaggy Rug,Rugs,Saharah 
interior_84,Blue Shanty Wall,Wallpaper,Nook's Cranny 
interior_85,Blue Simple-Cloth Wall,Wallpaper,Nook's Cranny 
interior_86,Blue Small Round Mat,Rugs,Saharah 
interior_87,Blue Stripes Rug,Rugs,Saharah 
interior_88,Blue Subway-Tile Wall,Wallpaper,Nook's Cranny 
interior_89,Blue Tile Wall,Wallpaper,Nook's Cranny 
interior_90,Blue Two-Toned Tile Wall,Wallpaper,Nook's Cranny 
interior_91,Blue Vinyl Sheet,Rugs,Saharah 
interior_92,Blue Wavy Rug,Rugs,Saharah 
interior_93,Blue Wedding Rug,Rugs,Cyrus 
interior_94,Blue-Crown Wall,Wallpaper,Nook's Cranny 
interior_95,Blue-Design Kitchen Mat,Rugs,Saharah 
interior_96,Blue-Paint Flooring,Floors,Nook's Cranny 
interior_97,Blue-Paint Wall,Wallpaper,Nook's Cranny 
interior_98,Blue-Rose Wall,Wallpaper,Nook's Cranny 
interior_99,Blue-Striped Wall,Wallpaper,Nook's Cranny 
interior_100,Bone Entrance Mat,Rugs,Saharah's Co-Op 
interior_101,Botanical Rug,Rugs,Saharah 
interior_102,Botanical-Tile Wall,Wallpaper,Nook's Cranny 
interior_103,Boxing-Ring Mat,Floors,Saharah 
interior_104,Brick Garden Wall,Wallpaper,Saharah's Co-Op 
interior_105,Broken Stone-Path Flooring,Floors,Saharah's Co-Op 
interior_106,Brown Argyle Rug,Rugs,Saharah 
interior_107,Brown Argyle-Tile Flooring,Floors,Nook's Cranny 
interior_108,Brown Botanical-Tile Wall,Wallpaper,Nook's Cranny 
interior_109,Brown Cow-Print Rug,Rugs,Saharah's Co-Op 
interior_110,Brown Diner Wall,Wallpaper,Nook's Cranny 
interior_111,Brown Floral Flooring,Floors,Nook's Cranny 
interior_112,Brown Hallway Wall,Wallpaper,Nook's Cranny 
interior_113,Brown Herringbone Wall,Wallpaper,Crafting 
interior_114,Brown Honeycomb Tile,Floors,Nook's Cranny 
interior_115,Brown Iron-Parquet Flooring,Floors,Nook's Cranny 
interior_116,Brown Kitchen Mat,Rugs,Saharah 
interior_117,Brown Shaggy Rug,Rugs,Saharah 
interior_118,Brown Shanty Wall,Wallpaper,Nook's Cranny 
interior_119,Brown Wedding Flooring,Floors,Cyrus 
interior_120,Brown Wedding Wall,Wallpaper,Cyrus 
interior_121,Brown Wooden-Deck Rug,Rugs,Saharah 
interior_122,Brown-Brick Flooring,Floors,Nook's Cranny 
interior_123,Brown-Brick Wall,Wallpaper,Nook's Cranny 
interior_124,Brown-Crown Wall,Wallpaper,Nook's Cranny 
interior_125,Bunny Day Flooring,Floors,Crafting 
interior_126,Bunny Day Rug,Rugs,Crafting 
interior_127,Bunny Day Wall,Wallpaper,Crafting 
interior_128,Butterflies Wall,Wallpaper,Flick 
interior_129,Cabin Wall,Wallpaper,Crafting 
interior_130,Café-Curtain Wall,Wallpaper,Saharah 
interior_131,Camo Flooring,Floors,Nook's Cranny 
interior_132,Camo Wall,Wallpaper,Nook's Cranny 
interior_133,Candles Wall,Wallpaper,Saharah's Co-Op 
interior_134,Chain-Link Fence,Wallpaper,Saharah 
interior_135,Cherry Rug,Rugs,Crafting 
interior_136,Cherry Wall,Wallpaper,Crafting 
interior_137,Cherry-Blossom Flooring,Floors,Crafting 
interior_138,Cherry-Blossom Rug,Rugs,Crafting 
interior_139,Cherry-Blossom-Trees Wall,Wallpaper,Crafting 
interior_140,Chic Tearoom Wall,Wallpaper,Nook's Cranny 
interior_141,Chic Wall,Wallpaper,Nook's Cranny 
interior_142,Chocolate Hallway Wall,Wallpaper,Nook's Cranny 
interior_143,Chocolate Herringbone Wall,Wallpaper,Crafting 
interior_144,Cinnamoroll Flooring,Floors,Nook Shopping 
interior_145,Cinnamoroll Rug,Rugs,Nook Shopping 
interior_146,Cinnamoroll Wall,Wallpaper,Nook Shopping 
interior_147,Circuit-Board Flooring,Floors,Saharah 
interior_148,Circuit-Board Wall,Wallpaper,Saharah 
interior_149,Circus Flooring,Floors,Saharah's Co-Op 
interior_150,Circus Wall,Wallpaper,Saharah's Co-Op 
interior_151,Cityscape Wall,Wallpaper,Saharah 
interior_152,Classic-Library Wall,Wallpaper,Crafting 
interior_153,Cloud Flooring,Floors,Saharah 
interior_154,Club Flooring,Floors,Saharah's Co-Op 
interior_155,Club Wall,Wallpaper,Saharah's Co-Op 
interior_156,Coconut Mat,Rugs,Saharah's Co-Op 
interior_157,Coffee-Shop Wall,Wallpaper,Saharah's Co-Op 
interior_158,Colored-Leaves Flooring,Floors,Crafting 
interior_159,Colorful Mosaic-Tile Flooring,Floors,Nook's Cranny 
interior_160,Colorful Puzzle Flooring,Floors,Nook's Cranny 
interior_161,Colorful Puzzle Wall,Wallpaper,Nook's Cranny 
interior_162,Colorful Tile Flooring,Floors,Nook's Cranny 
interior_163,Colorful Vinyl Sheet,Rugs,Saharah 
interior_164,Colorful-Tile Wall,Wallpaper,Nook's Cranny 
interior_165,Common Flooring,Floors,Nook's Cranny 
interior_166,Common Wall,Wallpaper,Nook's Cranny 
interior_167,Concession-Stand Wall,Wallpaper,Saharah's Co-Op 
interior_168,Concrete Flooring,Floors,Nook's Cranny 
interior_169,Concrete Wall,Wallpaper,Nook's Cranny 
interior_170,Construction-Site Flooring,Floors,Saharah 
interior_171,Construction-Site Wall,Wallpaper,Saharah 
interior_172,Cookie Rug,Rugs,Saharah's Co-Op 
interior_173,Cool Vinyl Flooring,Floors,Nook's Cranny 
interior_174,Cool-Paint Flooring,Floors,Nook's Cranny 
interior_175,Cork Flooring,Floors,Nook's Cranny 
interior_176,Crepe-Design Wall,Wallpaper,Nook's Cranny 
interior_177,Crop-Circles Flooring,Floors,Saharah 
interior_178,Crosswalk Flooring,Floors,Saharah 
interior_179,Cubic Parquet Flooring,Floors,Nook's Cranny 
interior_180,Cute Blue Wall,Wallpaper,Nook's Cranny 
interior_181,Cute Blue-Tile Flooring,Floors,Nook's Cranny 
interior_182,Cute Red Wall,Wallpaper,Nook's Cranny 
interior_183,Cute Red-Tile Flooring,Floors,Nook's Cranny 
interior_184,Cute White Wall,Wallpaper,Nook's Cranny 
interior_185,Cute White-Tile Flooring,Floors,Nook's Cranny 
interior_186,Cute Yellow Wall,Wallpaper,Nook's Cranny 
interior_187,Cute Yellow-Tile Flooring,Floors,Nook's Cranny 
interior_188,Cute-Paint Flooring,Floors,Nook's Cranny 
interior_189,Daisy Meadow,Floors,Saharah 
interior_190,Dark Bamboo Bath Mat,Rugs,Crafting 
interior_191,Dark Bamboo Rug,Rugs,Crafting 
interior_192,Dark Herringbone Flooring,Floors,Nook's Cranny 
interior_193,Dark Parquet Flooring,Floors,Nook's Cranny 
interior_194,Dark Square Tile,Rugs,Saharah's Co-Op 
interior_195,Dark Stones Rug,Rugs,Saharah's Co-Op 
interior_196,Dark Wood-Pattern Flooring,Floors,Nook's Cranny 
interior_197,Dark Wooden-Mosaic Wall,Wallpaper,Crafting 
interior_198,Dark-Block Flooring,Floors,Nook's Cranny 
interior_199,Dark-Chocolate Wall,Wallpaper,Saharah 
interior_200,Dark-Chocolates Flooring,Floors,Saharah 
interior_201,Dark-Wood Flooring Sheet,Rugs,Saharah's Co-Op 
interior_202,Dark-Wood Flooring Tile,Rugs,Saharah's Co-Op 
interior_203,Desert Vista,Wallpaper,Saharah 
interior_204,Dig-Site Flooring,Floors,Saharah 
interior_205,Dig-Site Wall,Wallpaper,Saharah 
interior_206,Dirt Flooring,Floors,Saharah 
interior_207,Dirt-Clod Wall,Wallpaper,Nook's Cranny 
interior_208,Dojo Wall,Wallpaper,Saharah 
interior_209,Dungeon Wall,Wallpaper,Saharah 
interior_210,Earth Rug,Rugs,Saharah 
interior_211,Elegant Beige Rug,Rugs,Saharah's Co-Op 
interior_212,Elegant Black Rug,Rugs,Saharah's Co-Op 
interior_213,Elegant Blue Rug,Rugs,Saharah's Co-Op 
interior_214,Elegant Brown Rug,Rugs,Saharah's Co-Op 
interior_215,Exquisite Wall,Wallpaper,Saharah 
interior_216,Falling-Snow Wall,Wallpaper,Crafting 
interior_217,Fast-Food Flooring,Floors,Saharah's Co-Op 
interior_218,Festive Rug,Rugs,Crafting 
interior_219,Field Flooring,Floors,Saharah 
interior_220,Fireworks-Show Wall,Wallpaper,Saharah Nintendo 
interior_221,Fish Rug,Rugs,C.J. 
interior_222,Flagstone Flooring,Floors,Nook's Cranny 
interior_223,Floral Mosaic-Tile Flooring,Floors,Nook's Cranny 
interior_224,Floral Rush-Mat Flooring,Floors,Saharah 
interior_225,Flowing-River Flooring,Floors,Saharah 
interior_226,Fluffy Rug,Rugs,Saharah 
interior_227,Football Rug,Rugs,Nook Shopping 
interior_228,Forest Flooring,Floors,Crafting 
interior_229,Forest Wall,Wallpaper,Crafting 
interior_230,Fossil Rug,Rugs,Saharah 
interior_231,Frozen Floor Tiles,Rugs,Crafting 
interior_232,Frozen-Foods Freezer Wall,Wallpaper,Saharah's Co-Op 
interior_233,Future-Tech Flooring,Floors,Saharah 
interior_234,Future-Tech Wall,Wallpaper,Saharah 
interior_235,Galaxy Flooring,Floors,Crafting 
interior_236,Garbage-Heap Flooring,Floors,Crafting 
interior_237,Garbage-Heap Wall,Wallpaper,Crafting 
interior_238,Giraffe-Print Flooring,Floors,Nook's Cranny 
interior_239,Glowing-Moss Cave Wall,Wallpaper,Crafting 
interior_240,Glowing-Moss Flooring,Floors,Crafting 
